yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2010,SEA,AL,carpmi01,14,11,14,10,0,0,9,0,0,0,1,0,0,1,1,3,0
2010,CLE,AL,carraca01,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2010,ARI,NL,carradj01,18,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0
2010,PIT,NL,carradj01,45,0,41,45,45,0,0,0,0,0,0,0,0,0,0,0,0
2010,FLO,NL,carrobr01,32,20,32,25,0,0,0,0,0,0,7,0,20,25,0,8,1
2010,LAN,NL,carroja01,133,96,133,124,0,0,0,48,11,69,5,0,0,5,0,16,4
2010,OAK,AL,carsoma01,36,21,36,33,0,0,0,0,0,0,6,3,25,33,1,11,1
2010,NYN,NL,cartech01,100,33,100,30,0,0,0,0,0,0,17,0,13,30,7,65,0
2010,OAK,AL,cartech02,24,23,24,22,0,0,0,0,0,0,22,0,0,22,2,1,0
2010,BOS,AL,cashke01,29,19,29,29,0,29,0,0,0,0,0,0,0,0,0,0,0
2010,HOU,NL,cashke01,20,18,20,20,1,19,0,0,0,0,0,0,0,0,0,0,0
2010,CHN,NL,cashnan01,53,0,51,53,53,0,0,0,0,0,0,0,0,0,0,0,0
2010,MIN,AL,casilal01,69,37,69,60,0,0,0,24,6,30,0,1,0,1,7,6,12
2010,LAA,AL,cassebo01,16,0,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2010,BAL,AL,castial02,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
2010,NYN,NL,castilu01,86,64,86,74,0,0,0,74,0,0,0,0,0,0,0,12,3
2010,CHN,NL,castiwe01,7,5,7,5,0,5,0,0,0,0,0,0,0,0,0,2,0
2010,HOU,NL,castrja01,67,57,67,67,0,67,0,0,0,0,0,0,0,0,0,5,2
2010,LAN,NL,castrju01,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,PHI,NL,castrju01,54,33,54,50,0,0,0,7,11,32,0,0,0,0,0,7,1
2010,CHA,AL,castrra01,37,31,37,34,0,34,0,0,0,0,0,0,0,0,3,3,1
2010,CHN,NL,castrst01,125,121,125,123,0,0,0,0,0,123,0,0,0,0,0,2,1
2010,NYN,NL,catalfr01,25,1,25,1,0,0,1,0,0,0,1,0,0,1,0,24,0
2010,TOR,AL,cecilbr01,28,28,1,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2010,FLO,NL,cedajo01,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2010,PIT,NL,cedenro02,139,132,139,136,0,0,0,0,0,136,0,0,0,0,0,4,2
2010,NYA,AL,cervefr01,93,80,93,91,0,90,0,0,2,0,0,0,0,0,0,4,1
2010,HOU,NL,chacigu01,44,0,40,44,44,0,0,0,0,0,0,0,0,0,0,0,0
2010,COL,NL,chacijh01,28,21,26,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2010,NYA,AL,chambjo03,73,0,5,73,73,0,0,0,0,0,0,0,0,0,0,0,0
2010,CIN,NL,chapmar01,15,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0
2010,OAK,AL,chaveer01,33,29,33,1,0,0,1,0,0,0,0,0,0,0,31,3,0
2010,ATL,NL,chaveje01,28,0,27,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2010,KCA,AL,chaveje01,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0
2010,KCA,AL,chenbr01,33,23,1,33,33,0,0,0,0,0,0,0,0,0,0,0,0
2010,WAS,NL,chicoma01,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,TBA,AL,choatra01,85,0,3,85,85,0,0,0,0,0,0,0,0,0,0,0,0
2010,CLE,AL,choosh01,144,144,144,142,0,0,0,0,0,0,0,0,142,142,2,0,0
2010,ARI,NL,churcry01,37,6,37,11,0,0,0,0,0,0,9,3,0,11,0,28,0
2010,PIT,NL,churcry01,69,39,69,45,0,0,0,0,0,0,13,4,33,45,3,23,0
2010,PIT,NL,ciriape01,8,0,8,1,0,0,0,0,0,1,0,0,0,0,0,5,2
2010,FLO,NL,cishest01,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2010,PIT,NL,clemeje01,54,33,54,38,0,0,38,0,0,0,0,0,0,0,0,18,0
2010,ATL,NL,clevlbr01,4,1,4,2,0,0,0,0,0,0,2,0,0,2,0,0,3
2010,WAS,NL,clippty01,78,0,74,78,78,0,0,0,0,0,0,0,0,0,0,0,0
2010,BOS,AL,coellro01,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2010,MIL,NL,coffeto01,69,0,67,69,69,0,0,0,0,0,0,0,0,0,0,0,0
2010,FLO,NL,coghlch01,91,87,91,90,0,0,0,0,0,0,90,0,0,90,0,2,0
2010,DET,AL,cokeph01,74,1,4,74,74,0,0,0,0,0,0,0,0,0,0,0,0
2010,CHN,NL,colemca01,12,8,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2010,SEA,AL,colomje01,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2010,KCA,AL,colonro01,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2010,CHN,NL,colvity01,135,81,135,111,0,0,0,0,0,0,55,18,59,111,0,24,5
2010,LAA,AL,congeha01,13,9,13,10,0,10,0,0,0,0,0,0,0,0,1,4,0
2010,ATL,NL,conrabr01,103,24,103,44,0,0,0,9,37,0,0,0,0,0,0,63,8
2010,PHI,NL,contrjo01,67,0,63,67,67,0,0,0,0,0,0,0,0,0,0,0,0
2010,COL,NL,cookaa01,28,23,25,23,23,0,0,0,0,0,0,0,0,0,0,1,4
2010,NYN,NL,coraal01,62,41,62,52,0,0,2,47,0,6,0,0,0,0,0,13,1
2010,TEX,AL,coraal01,4,2,4,3,0,0,0,2,1,0,0,0,0,0,0,0,1
2010,SEA,AL,cordech01,9,0,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0
2010,CIN,NL,cordefr01,75,0,70,75,75,0,0,0,0,0,0,0,0,0,0,0,0
2010,TBA,AL,cormila01,60,0,6,60,60,0,0,0,0,0,0,0,0,0,0,0,0
2010,COL,NL,corpama01,56,0,51,56,56,0,0,0,0,0,0,0,0,0,0,0,0
2010,SDN,NL,correke01,28,26,27,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2010,SEA,AL,corteda02,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2010,MIL,NL,counscr01,102,35,102,62,0,0,0,3,20,42,0,0,0,0,0,46,0
2010,FLO,NL,cousisc01,27,4,27,11,0,0,0,0,0,0,0,8,3,11,0,17,1
2010,SLN,NL,craigal01,44,27,44,38,0,0,5,1,2,0,5,0,30,34,0,8,1
2010,MIN,AL,crainje01,71,0,5,71,71,0,0,0,0,0,0,0,0,0,0,0,0
2010,OAK,AL,cramebo01,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2010,TBA,AL,crawfca02,154,148,154,147,0,0,0,0,0,0,147,0,0,147,3,2,3
2010,OAK,AL,crispco01,75,74,75,73,0,0,0,0,0,0,0,73,0,73,1,1,0
2010,ARI,NL,crosbbo01,9,2,9,3,0,0,0,1,2,0,0,0,0,0,0,7,0
